nu,mu_meV,E_meV
1.155689223057644044e-01,1.149951312481785237e+01,1.481370720929559459e+00
1.162255639097744403e-01,1.148829427931859470e+01,1.488918096292822346e+00
1.168822055137844623e-01,1.147710708096333931e+01,1.496458115285796975e+00
1.175388471177944844e-01,1.146595126343407856e+01,1.503990798601877232e+00
1.181954887218045064e-01,1.145482656412719180e+01,1.511516166760800806e+00
1.188521303258145423e-01,1.144373272408132536e+01,1.519034240111064804e+00
1.195087719298245643e-01,1.143266948790705229e+01,1.526545038832294088e+00
1.201654135338345863e-01,1.142163660371827305e+01,1.534048582937564520e+00
1.208220551378446084e-01,1.141063382306531437e+01,1.541544892275681367e+00
1.214786967418546304e-01,1.139966090086962858e+01,1.549033986533414398e+00
1.221353383458646663e-01,1.138871759536012362e+01,1.556515885237690355e+00
1.227919799498746883e-01,1.137780366801099596e+01,1.563990607757744566e+00
1.234486215538847104e-01,1.136691888348106971e+01,1.571458173307231920e+00
1.241052631578947324e-01,1.135606300955459069e+01,1.578918600946298767e+00
1.247619047619047683e-01,1.134523581708342022e+01,1.586371909583616180e+00
1.254185463659147903e-01,1.133443707993060379e+01,1.593818117978375026e+00
1.260751879699248124e-01,1.132366657491525785e+01,1.601257244742246622e+00
1.267318295739348344e-01,1.131292408175875863e+01,1.608689308341304969e+00
1.273884711779448564e-01,1.130220938303217437e+01,1.616114327097915471e+00
1.280451127819548784e-01,1.129152226410491622e+01,1.623532319192589446e+00
1.287017543859649005e-01,1.128086251309457921e+01,1.630943302665805339e+00
1.293583959899749503e-01,1.127022992081793262e+01,1.638347295419796845e+00
1.300150375939849723e-01,1.125962428074301158e+01,1.645744315220309284e+00
1.306716791979949943e-01,1.124904538894232964e+01,1.653134379698326217e+00
1.313283208020050163e-01,1.123849304404710736e+01,1.660517506351763872e+00
1.319849624060150384e-01,1.122796704720257033e+01,1.667893712547136476e+00
1.326416040100250604e-01,1.121746720202420633e+01,1.675263015521193388e+00
1.332982456140350824e-01,1.120699331455503156e+01,1.682625432382526487e+00
1.339548872180451045e-01,1.119654519322378583e+01,1.689980980113150677e+00
1.346115288220551265e-01,1.118612264880403906e+01,1.697329675570057095e+00
1.352681704260651763e-01,1.117572549437421792e+01,1.704671535486739886e+00
1.359248120300751983e-01,1.116535354527849222e+01,1.712006576474695896e+00
1.365814536340852203e-01,1.115500661908850155e+01,1.719334815024901486e+00
1.372380952380952424e-01,1.114468453556592742e+01,1.726656267509261600e+00
1.378947368421052644e-01,1.113438711662585590e+01,1.733970950182036397e+00
1.385513784461152864e-01,1.112411418630093252e+01,1.741278879181242800e+00
1.392080200501253084e-01,1.111386557070627745e+01,1.748580070530034503e+00
1.398646616541353305e-01,1.110364109800514854e+01,1.755874540138057549e+00
1.405213032581453525e-01,1.109344059837531304e+01,1.763162303802783937e+00
1.411779448621554023e-01,1.108326390397615313e+01,1.770443377210824343e+00
1.418345864661654243e-01,1.107311084891643738e+01,1.777717775939217537e+00
1.424912280701754463e-01,1.106298126922277092e+01,1.784985515456701810e+00
1.431478696741854684e-01,1.105287500280869395e+01,1.792246611124962641e+00
