nu,mu_meV,x_pixel,y_row_from_top
0.3062889405721192,1.6834514221118704,385,118.0
0.30684339083166234,1.6445426835422585,386,121.0
0.3073978410912055,1.6575122630654624,387,120.0
0.3079522913507486,1.6056339449726467,388,124.0
0.30850674161029173,1.6186035244958505,389,123.0
0.30906119186983483,1.6056339449726467,390,124.0
0.309615642129378,1.579694785926239,391,126.0
0.3101700923889211,1.540786047356627,392,129.0
0.3107245426484642,1.514846888310219,393,131.0
0.31127899290800737,1.5018773087870152,394,132.0
0.3118334431675505,1.4759381497406072,395,134.0
0.3123878934270936,1.4759381497406072,396,134.0
0.31294234368663676,1.4370294111709956,397,137.0
0.3134967939461799,1.4370294111709956,398,137.0
0.314051244205723,1.3981206726013837,399,140.0
0.31460569446526615,1.3981206726013837,400,140.0
0.3151601447248093,1.3592119340317719,401,143.0
