% Model,Dot-bridge-boundary.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 4 2025, 17:51"
% Table,Table 1 - Surface Integration 1
% r_hole (nm),D_Br_TG (nm),lambda (nm),V_QPC (V),"Electric displacement field, z component (C)"
70,175,0.9999999999999999,0.5,-2.356994149548978E-17
70,175,0.9999999999999999,0.8,-2.3690436149762823E-17
70,175,0.9999999999999999,1.1,-2.3810930961494657E-17
70,175,0.9999999999999999,1.4,-2.3931425943833592E-17
70,175,0.9999999999999999,1.7,-2.4051921079587025E-17
70,175,1.9999999999999998,0.5,-2.1317508494773458E-17
70,175,1.9999999999999998,0.8,-2.1498349188086794E-17
70,175,1.9999999999999998,1.1,-2.1679191154932064E-17
70,175,1.9999999999999998,1.4,-2.1860033992607052E-17
70,175,1.9999999999999998,1.7,-2.2040877348308777E-17
70,175,3,0.5,-1.9367563694361396E-17
70,175,3,0.8,-1.968232477235224E-17
70,175,3,1.1,-1.999708660497643E-17
70,175,3,1.4,-2.031184859117656E-17
70,175,3,1.7,-2.062661056516595E-17
70,175,3.9999999999999996,0.5,-1.749009366938188E-17
70,175,3.9999999999999996,0.8,-1.7973427197179624E-17
70,175,3.9999999999999996,1.1,-1.8456756017963184E-17
70,175,3.9999999999999996,1.4,-1.89400849010545E-17
70,175,3.9999999999999996,1.7,-1.9423413812239053E-17
70,175,4.999999999999999,0.5,-1.570821598190447E-17
70,175,4.999999999999999,0.8,-1.636636570903047E-17
70,175,4.999999999999999,1.1,-1.7024515518302345E-17
70,175,4.999999999999999,1.4,-1.7682665343705713E-17
70,175,4.999999999999999,1.7,-1.83408151703258E-17
70,175,6,0.5,-1.408156421358333E-17
70,175,6,0.8,-1.490491854613438E-17
70,175,6,1.1,-1.5728288498738174E-17
70,175,6,1.4,-1.6551675779454946E-17
70,175,6,1.7,-1.7375044228221912E-17
70,175,7,0.5,-1.264400261225752E-17
70,175,7,0.8,-1.361561246243313E-17
70,175,7,1.1,-1.458725073545983E-17
70,175,7,1.4,-1.5558873291488052E-17
70,175,7,1.7,-1.653049582877848E-17
70,175,7.999999999999999,0.5,-1.1401080842637891E-17
70,175,7.999999999999999,0.8,-1.25018236651274E-17
70,175,7.999999999999999,1.1,-1.3602552659437184E-17
70,175,7.999999999999999,1.4,-1.470328172602217E-17
70,175,7.999999999999999,1.7,-1.5804011244703497E-17
70,175,9,0.5,-1.0340437352363694E-17
70,175,9,0.8,-1.1551739913605332E-17
70,175,9,1.1,-1.2763031922420716E-17
70,175,9,1.4,-1.3974324367199383E-17
70,175,9,1.7,-1.518561730122616E-17
70,175,9.999999999999998,0.5,-9.441356022640972E-18
70,175,9.999999999999998,0.8,-1.0746531965655358E-17
70,175,9.999999999999998,1.1,-1.2051708214408106E-17
70,175,9.999999999999998,1.4,-1.3356885153226156E-17
70,175,9.999999999999998,1.7,-1.466206255703644E-17
70,200,0.9999999999999999,0.5,-2.3551152739338834E-17
70,200,0.9999999999999999,0.8,-2.3655099535955007E-17
70,200,0.9999999999999999,1.1,-2.3759046190592786E-17
70,200,0.9999999999999999,1.4,-2.38629928063487E-17
70,200,0.9999999999999999,1.7,-2.3966939469409598E-17
70,200,1.9999999999999998,0.5,-2.1289704453739896E-17
70,200,1.9999999999999998,0.8,-2.144592699452899E-17
70,200,1.9999999999999998,1.1,-2.160215206561009E-17
70,200,1.9999999999999998,1.4,-2.1758378927142445E-17
70,200,1.9999999999999998,1.7,-2.1914606865389863E-17
70,200,3,0.5,-1.931859513556816E-17
70,200,3,0.8,-1.959104393252249E-17
70,200,3,1.1,-1.9863494235626135E-17
70,200,3,1.4,-2.0135944582657238E-17
70,200,3,1.7,-2.0408394553410293E-17
70,200,3.9999999999999996,0.5,-1.7412656986976906E-17
70,200,3.9999999999999996,0.8,-1.7831631779857887E-17
70,200,3.9999999999999996,1.1,-1.8250595905053542E-17
70,200,3.9999999999999996,1.4,-1.866957239302363E-17
70,200,3.9999999999999996,1.7,-1.9088539778600795E-17
70,200,4.999999999999999,0.5,-1.5599131349684075E-17
70,200,4.999999999999999,0.8,-1.617029318069124E-17
70,200,4.999999999999999,1.1,-1.67414550712781E-17
70,200,4.999999999999999,1.4,-1.7312641120980212E-17
70,200,4.999999999999999,1.7,-1.788380028906374E-17
70,200,6,0.5,-1.3940587968178483E-17
70,200,6,0.8,-1.4655805781995678E-17
70,200,6,1.1,-1.53710196666601E-17
70,200,6,1.4,-1.6086232526407575E-17
70,200,6,1.7,-1.6801445559036183E-17
70,200,7,0.5,-1.2472742060364312E-17
70,200,7,0.8,-1.3317396281078262E-17
70,200,7,1.1,-1.4162048744374867E-17
70,200,7,1.4,-1.5006701742155083E-17
70,200,7,1.7,-1.5851355624945646E-17
70,200,7.999999999999999,0.5,-1.1202168988181671E-17
70,200,7.999999999999999,0.8,-1.2159680647886458E-17
70,200,7.999999999999999,1.1,-1.3117191977289213E-17
70,200,7.999999999999999,1.4,-1.4074704264255192E-17
70,200,7.999999999999999,1.7,-1.5032217391679185E-17
70,200,9,0.5,-1.0116871767990959E-17
70,200,9,0.8,-1.1171132950926672E-17
70,200,9,1.1,-1.2225395326901641E-17
70,200,9,1.4,-1.327965887271433E-17
70,200,9,1.7,-1.4333923063295188E-17
70,200,9.999999999999998,0.5,-9.196147869948007E-18
70,200,9.999999999999998,0.8,-1.0332637442693458E-17
70,200,9.999999999999998,1.1,-1.1469128617216396E-17
70,200,9.999999999999998,1.4,-1.2605620601682867E-17
70,200,9.999999999999998,1.7,-1.3742112944636E-17
90,100,0.9999999999999999,0.5,-2.2759109434104056E-17
90,100,0.9999999999999999,0.8,-2.3141447147910344E-17
90,100,0.9999999999999999,1.1,-2.3523785159021167E-17
90,100,0.9999999999999999,1.4,-2.3906123391761187E-17
90,100,0.9999999999999999,1.7,-2.428846176990088E-17
90,100,1.9999999999999998,0.5,-2.0654647702863484E-17
90,100,1.9999999999999998,0.8,-2.114926195504466E-17
90,100,1.9999999999999998,1.1,-2.1643877252014068E-17
90,100,1.9999999999999998,1.4,-2.2138493502530788E-17
90,100,1.9999999999999998,1.7,-2.26331105478073E-17
90,100,3,0.5,-1.8896536528940083E-17
90,100,3,0.8,-1.9620726492410486E-17
90,100,3,1.1,-2.0344916561580065E-17
90,100,3,1.4,-2.1069106867333166E-17
90,100,3,1.7,-2.179329745388022E-17
90,100,3.9999999999999996,0.5,-1.724974763789203E-17
90,100,3.9999999999999996,0.8,-1.8255261491610157E-17
90,100,3.9999999999999996,1.1,-1.926077431719905E-17
90,100,3.9999999999999996,1.4,-2.0266286608695094E-17
90,100,3.9999999999999996,1.7,-2.1271798628310223E-17
90,100,4.999999999999999,0.5,-1.571618665833789E-17
90,100,4.999999999999999,0.8,-1.7008272737174702E-17
90,100,4.999999999999999,1.1,-1.830035759066476E-17
90,100,4.999999999999999,1.4,-1.959244184667126E-17
90,100,4.999999999999999,1.7,-2.088452576416812E-17
90,100,6,0.5,-1.4335870985195763E-17
90,100,6,0.8,-1.5894910269465143E-17
90,100,6,1.1,-1.745394851448653E-17
90,100,6,1.4,-1.901298627542255E-17
90,100,6,1.7,-2.0572023779295388E-17
90,100,7,0.5,-1.3129517255115751E-17
90,100,7,0.8,-1.4925236086007528E-17
90,100,7,1.1,-1.6720954134251695E-17
90,100,7,1.4,-1.851667190309425E-17
90,100,7,1.7,-2.0312389611203458E-17
90,100,7.999999999999999,0.5,-1.2095801044293986E-17
90,100,7.999999999999999,0.8,-1.40955758146655E-17
90,100,7.999999999999999,1.1,-1.609535004494878E-17
90,100,7.999999999999999,1.4,-1.809512414374656E-17
90,100,7.999999999999999,1.7,-2.0094898305819063E-17
90,100,9,0.5,-1.1220066261639554E-17
90,100,9,0.8,-1.3393138614592348E-17
90,100,9,1.1,-1.5566210686285276E-17
90,100,9,1.4,-1.7739282780345024E-17
90,100,9,1.7,-1.9912354970661515E-17
90,100,9.999999999999998,0.5,-1.0482123534536197E-17
90,100,9.999999999999998,0.8,-1.28013356534135E-17
90,100,9.999999999999998,1.1,-1.5120547592218403E-17
90,100,9.999999999999998,1.4,-1.7439759599850376E-17
90,100,9.999999999999998,1.7,-1.9758971702344753E-17
90,125,0.9999999999999999,0.5,-2.266720825227446E-17
90,125,0.9999999999999999,0.8,-2.2972487169724492E-17
90,125,0.9999999999999999,1.1,-2.3277766378034616E-17
90,125,0.9999999999999999,1.4,-2.3583045780492456E-17
90,125,0.9999999999999999,1.7,-2.3888325288263612E-17
90,125,1.9999999999999998,0.5,-2.0535993295940273E-17
90,125,1.9999999999999998,0.8,-2.0931609157498693E-17
90,125,1.9999999999999998,1.1,-2.132722604102914E-17
90,125,1.9999999999999998,1.4,-2.1722843670223478E-17
90,125,1.9999999999999998,1.7,-2.211846176308815E-17
90,125,3,0.5,-1.8721777373369095E-17
90,125,3,0.8,-1.9302292026012778E-17
90,125,3,1.1,-1.9882807262635718E-17
90,125,3,1.4,-2.046332271426023E-17
90,125,3,1.7,-2.1043838270449562E-17
90,125,3.9999999999999996,0.5,-1.7002492595912334E-17
90,125,3.9999999999999996,0.8,-1.7810341335932622E-17
90,125,3.9999999999999996,1.1,-1.861818880366834E-17
90,125,3.9999999999999996,1.4,-1.9426035222985862E-17
90,125,3.9999999999999996,1.7,-2.023388094857792E-17
90,125,4.999999999999999,0.5,-1.5390611290115115E-17
90,125,4.999999999999999,0.8,-1.643089739547081E-17
90,125,4.999999999999999,1.1,-1.7471181058297078E-17
90,125,4.999999999999999,1.4,-1.8511463363048712E-17
90,125,4.999999999999999,1.7,-1.9551744923483458E-17
90,125,6,0.5,-1.3933157285973828E-17
90,125,6,0.8,-1.519075249870193E-17
90,125,6,1.1,-1.644834552673698E-17
90,125,6,1.4,-1.7705937543709988E-17
90,125,6,1.7,-1.8963529185717242E-17
90,125,7,0.5,-1.2654967404395394E-17
90,125,7,0.8,-1.4105864550691848E-17
90,125,7,1.1,-1.555676022638399E-17
90,125,7,1.4,-1.7007655571566233E-17
90,125,7,1.7,-1.8458551093872348E-17
90,125,7.999999999999999,0.5,-1.1556675561073513E-17
90,125,7.999999999999999,0.8,-1.3174713065271805E-17
90,125,7.999999999999999,1.1,-1.4792749619818172E-17
90,125,7.999999999999999,1.4,-1.6410786381434342E-17
90,125,7.999999999999999,1.7,-1.802882360894397E-17
90,125,9,0.5,-1.0624148323621783E-17
90,125,9,0.8,-1.2384484944387143E-17
90,125,9,1.1,-1.4144821725187892E-17
90,125,9,1.4,-1.5905159050035836E-17
90,125,9,1.7,-1.766549671707091E-17
90,125,9.999999999999998,0.5,-9.83690738504838E-18
90,125,9.999999999999998,0.8,-1.1717496244132778E-17
90,125,9.999999999999998,1.1,-1.3598085355932036E-17
90,125,9.999999999999998,1.4,-1.5478674992416356E-17
90,125,9.999999999999998,1.7,-1.7359264942102965E-17
90,150,0.9999999999999999,0.5,-2.260539219581235E-17
90,150,0.9999999999999999,0.8,-2.2857676996944358E-17
90,150,0.9999999999999999,1.1,-2.310996150376402E-17
90,150,0.9999999999999999,1.4,-2.336224590787712E-17
90,150,0.9999999999999999,1.7,-2.3614530339072663E-17
90,150,1.9999999999999998,0.5,-2.045610222099415E-17
90,150,1.9999999999999998,0.8,-2.0783542133999665E-17
90,150,1.9999999999999998,1.1,-2.1110983494403863E-17
90,150,1.9999999999999998,1.4,-2.1438425891548387E-17
90,150,1.9999999999999998,1.7,-2.176586892047662E-17
90,150,3,0.5,-1.8603281437378554E-17
90,150,3,0.8,-1.9084819556033127E-17
90,150,3,1.1,-1.956635873737754E-17
90,150,3,1.4,-2.004789801771664E-17
90,150,3,1.7,-2.0529437118332898E-17
90,150,3.9999999999999996,0.5,-1.6833758854726966E-17
90,150,3.9999999999999996,0.8,-1.7505235211811068E-17
90,150,3.9999999999999996,1.1,-1.8176709736929243E-17
90,150,3.9999999999999996,1.4,-1.8848182716041757E-17
90,150,3.9999999999999996,1.7,-1.9519654696797652E-17
90,150,4.999999999999999,0.5,-1.5167265443216077E-17
90,150,4.999999999999999,0.8,-1.603346070606217E-17
90,150,4.999999999999999,1.1,-1.6899652815404692E-17
90,150,4.999999999999999,1.4,-1.77658433588089E-17
90,150,4.999999999999999,1.7,-1.8632033259346076E-17
90,150,6,0.5,-1.3655721545816336E-17
90,150,6,0.8,-1.4704431828799902E-17
90,150,6,1.1,-1.575313960081872E-17
90,150,6,1.4,-1.6801846471280048E-17
90,150,6,1.7,-1.7850553222498036E-17
90,150,7,0.5,-1.2326912840132594E-17
90,150,7,0.8,-1.353835542836378E-17
90,150,7,1.1,-1.474979659875279E-17
90,150,7,1.4,-1.5961237979103427E-17
90,150,7,1.7,-1.717267993940474E-17
90,150,7.999999999999999,0.5,-1.1182924270163806E-17
90,150,7.999999999999999,0.8,-1.253536577595796E-17
90,150,7.999999999999999,1.1,-1.388780697695244E-17
90,150,7.999999999999999,1.4,-1.5240248771971348E-17
90,150,7.999999999999999,1.7,-1.6592691058918036E-17
90,150,9,0.5,-1.0210065852850964E-17
90,150,9,0.8,-1.1682762573981537E-17
90,150,9,1.1,-1.315545977053224E-17
90,150,9,1.4,-1.4628157819309985E-17
90,150,9,1.7,-1.61008563384392E-17
90,150,9.999999999999998,0.5,-9.387707685284782E-18
90,150,9.999999999999998,0.8,-1.0962181436039064E-17
90,150,9.999999999999998,1.1,-1.2536656431989301E-17
90,150,9.999999999999998,1.4,-1.411113186822262E-17
90,150,9.999999999999998,1.7,-1.5685607420555135E-17
90,175,0.9999999999999999,0.5,-2.25611727459819E-17
90,175,0.9999999999999999,0.8,-2.2774891247221976E-17
90,175,0.9999999999999999,1.1,-2.2988609659466456E-17
90,175,0.9999999999999999,1.4,-2.3202328102771835E-17
90,175,0.9999999999999999,1.7,-2.3416046639132568E-17
90,175,1.9999999999999998,0.5,-2.0398426879483924E-17
90,175,1.9999999999999998,0.8,-2.0676286365347893E-17
90,175,1.9999999999999998,1.1,-2.0954147791752905E-17
90,175,1.9999999999999998,1.4,-2.123201064205833E-17
90,175,1.9999999999999998,1.7,-2.1509874427331755E-17
90,175,3,0.5,-1.8517502429582217E-17
90,175,3,0.8,-1.8927022132129674E-17
90,175,3,1.1,-1.9336542044765496E-17
90,175,3,1.4,-1.9746093654550402E-17
90,175,3,1.7,-2.015561185431707E-17
90,175,3.9999999999999996,0.5,-1.6711331471436272E-17
90,175,3.9999999999999996,0.8,-1.7283421527057975E-17
90,175,3.9999999999999996,1.1,-1.785551380010596E-17
90,175,3.9999999999999996,1.4,-1.8427606210093987E-17
90,175,3.9999999999999996,1.7,-1.899969867320198E-17
90,175,4.999999999999999,0.5,-1.5004814952825005E-17
90,175,4.999999999999999,0.8,-1.5743892125506173E-17
90,175,4.999999999999999,1.1,-1.648298827569673E-17
90,175,4.999999999999999,1.4,-1.722208445023609E-17
90,175,4.999999999999999,1.7,-1.7961180603611516E-17
90,175,6,0.5,-1.3453450615130575E-17
90,175,6,0.8,-1.4349366128585335E-17
90,175,6,1.1,-1.52453266938665E-17
90,175,6,1.4,-1.6141261273559112E-17
90,175,6,1.7,-1.703719536954984E-17
90,175,7,0.5,-1.2087205089789395E-17
90,175,7,0.8,-1.3123229491669584E-17
90,175,7,1.1,-1.4159274582016376E-17
90,175,7,1.4,-1.5195297357351366E-17
90,175,7,1.7,-1.6231320185543318E-17
90,175,7.999999999999999,0.5,-1.0909322054921285E-17
90,175,7.999999999999999,0.8,-1.2066927038653732E-17
90,175,7.999999999999999,1.1,-1.3224514071275914E-17
90,175,7.999999999999999,1.4,-1.438210154710745E-17
90,175,7.999999999999999,1.7,-1.5539689756072313E-17
90,175,9,0.5,-9.906461192380595E-18
90,175,9,0.8,-1.1167881289951547E-17
90,175,9,1.1,-1.2429285968944635E-17
90,175,9,1.4,-1.3690691571676558E-17
90,175,9,1.7,-1.4952098006691168E-17
90,175,9.999999999999998,0.5,-9.057917285277889E-18
90,175,9.999999999999998,0.8,-1.0407299024974895E-17
90,175,9.999999999999998,1.1,-1.1756667394109692E-17
90,175,9.999999999999998,1.4,-1.3106036453903849E-17
90,175,9.999999999999998,1.7,-1.4455406135151728E-17
90,200,0.9999999999999999,0.5,-2.2528660945381694E-17
90,200,0.9999999999999999,0.8,-2.2712952469405356E-17
90,200,0.9999999999999999,1.1,-2.2897243876572335E-17
90,200,0.9999999999999999,1.4,-2.3081535251366313E-17
90,200,0.9999999999999999,1.7,-2.326582665127646E-17
90,200,1.9999999999999998,0.5,-2.0355771095683815E-17
90,200,1.9999999999999998,0.8,-2.059576126003546E-17
90,200,1.9999999999999998,1.1,-2.0835753397796098E-17
90,200,1.9999999999999998,1.4,-2.1075747077130163E-17
90,200,1.9999999999999998,1.7,-2.131574184032309E-17
90,200,3,0.5,-1.845313052581258E-17
90,200,3,0.8,-1.8807536476787804E-17
90,200,3,1.1,-1.9161942918105294E-17
90,200,3,1.4,-1.9516349427788598E-17
90,200,3,1.7,-1.9870755885650412E-17
90,200,3.9999999999999996,0.5,-1.6618561957136856E-17
90,200,3.9999999999999996,0.8,-1.7114437181807735E-17
90,200,3.9999999999999996,1.1,-1.7610313651884725E-17
90,200,3.9999999999999996,1.4,-1.810619027704869E-17
90,200,3.9999999999999996,1.7,-1.8602066970356468E-17
90,200,4.999999999999999,0.5,-1.4880962217983767E-17
90,200,4.999999999999999,0.8,-1.552236331070318E-17
90,200,4.999999999999999,1.1,-1.616378449982517E-17
90,200,4.999999999999999,1.4,-1.6805230358616905E-17
90,200,4.999999999999999,1.7,-1.7446649426890587E-17
90,200,6,0.5,-1.3298569108417427E-17
90,200,6,0.8,-1.4076879015519417E-17
90,200,6,1.1,-1.485518890512226E-17
90,200,6,1.4,-1.5633521302003065E-17
90,200,6,1.7,-1.641182845981955E-17
90,200,7,0.5,-1.1903159466800002E-17
90,200,7,0.8,-1.2803901096901638E-17
90,200,7,1.1,-1.3704640114391226E-17
90,200,7,1.4,-1.460537850116896E-17
90,200,7,1.7,-1.5506117128514443E-17
90,200,7.999999999999999,0.5,-1.069875504553351E-17
90,200,7.999999999999999,0.8,-1.1705863981948164E-17
90,200,7.999999999999999,1.1,-1.271297142017971E-17
90,200,7.999999999999999,1.4,-1.3720079575506016E-17
90,200,7.999999999999999,1.7,-1.4727188751416765E-17
90,200,9,0.5,-9.672370332899764E-18
90,200,9,0.8,-1.0770412669198033E-17
90,200,9,1.1,-1.1868455373388765E-17
90,200,9,1.4,-1.2966499228512793E-17
90,200,9,1.7,-1.40645438460643E-17
90,200,9.999999999999998,0.5,-8.803261213861104E-18
90,200,9.999999999999998,0.8,-9.97841912787875E-18
90,200,9.999999999999998,1.1,-1.1153577749097751E-17
90,200,9.999999999999998,1.4,-1.2328737308805191E-17
90,200,9.999999999999998,1.7,-1.3503897413754098E-17
109.99999999999999,100,0.9999999999999999,0.5,-2.1574523333596484E-17
109.99999999999999,100,0.9999999999999999,0.8,-2.2180223608845772E-17
109.99999999999999,100,0.9999999999999999,1.1,-2.2785924098424156E-17
109.99999999999999,100,0.9999999999999999,1.4,-2.3391624749074803E-17
109.99999999999999,100,0.9999999999999999,1.7,-2.399732550505401E-17
109.99999999999999,100,1.9999999999999998,0.5,-1.95829119829384E-17
109.99999999999999,100,1.9999999999999998,0.8,-2.030407061847454E-17
109.99999999999999,100,1.9999999999999998,1.1,-2.1025230481326722E-17
109.99999999999999,100,1.9999999999999998,1.4,-2.1746391396708692E-17
